flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
411,529,192,8720,27.7523,24.1314,30.266,31.292,30.7269,25.2083,25.5825,30.391,21.2633,29.4507,29.3765,27.0962,30.0485,22.3999,27.099,28.9336,28.6848,30.7909,26.2665,26.4204,28.784,26.5992,28.379,31.6341,25.2312,
8728,529,192,8720,27.7522,24.4485,30.3853,31.4758,30.7229,24.8636,25.3866,30.1959,21.599,29.7157,29.0525,27.1487,30.0415,22.2615,26.9591,28.5458,28.7121,30.7282,26.3192,27.0081,28.846,26.3706,28.4705,31.443,25.353,
8720,529,192,8720,27.7512,24.4521,30.394,31.4703,30.705,24.8642,25.3878,30.1743,21.6019,29.6781,29.0602,27.1595,30.0243,22.2762,26.9601,28.5496,28.7249,30.736,26.3233,27.0108,28.8241,26.3797,28.4781,31.4315,25.362,
1305,529,192,8720,27.7496,24.1828,30.307,31.2901,30.6844,25.1813,25.6214,30.2846,21.3371,29.442,29.3345,27.1165,29.998,22.4084,27.1042,28.8672,28.7317,30.7591,26.2832,26.5048,28.733,26.6007,28.4073,31.5672,25.2435,
8960,529,192,8720,27.7487,24.1178,30.2795,31.206,30.6205,25.0523,25.3153,30.0943,21.5954,29.6865,29.4859,27.0817,30.079,22.2434,26.9095,28.7586,28.4165,30.6677,26.4611,26.775,29.3941,26.1643,28.4869,31.6949,25.3818,
1304,529,192,8720,27.7484,24.1992,30.3411,31.3078,30.6746,25.1705,25.6379,30.2256,21.33,29.4253,29.317,27.1276,29.9513,22.4195,27.1189,28.8522,28.7907,30.7501,26.2864,26.5181,28.6954,26.6023,28.4198,31.543,25.2565,
1297,529,192,8720,27.7476,24.2011,30.3203,31.2869,30.6578,25.1664,25.6175,30.2381,21.3593,29.4131,29.3285,27.1322,29.9741,22.4244,27.0972,28.8325,28.7451,30.755,26.2997,26.5452,28.7075,26.6019,28.4286,31.5395,25.2703,
9752,529,192,8720,27.7469,24.4421,30.3736,31.4778,30.7309,24.8584,25.3767,30.212,21.5933,29.7357,29.0241,27.1364,30.0404,22.2399,26.9558,28.5715,28.7007,30.7247,26.3084,27.0024,28.8215,26.3586,28.4553,31.4508,25.3334,
2330,529,192,8720,27.746,24.1481,30.2937,31.3069,30.7015,25.1961,25.6129,30.3285,21.2679,29.4375,29.3768,27.1022,30.0004,22.4082,27.111,28.9062,28.7275,30.7574,26.2583,26.4123,28.7543,26.5932,28.3729,31.5948,25.2346,
1553,529,192,8720,27.7457,24.4545,30.3602,31.4543,30.7106,24.8592,25.3778,30.2023,21.602,29.6984,29.0298,27.1544,30.0683,22.264,26.9403,28.5182,28.6781,30.7308,26.3184,27.0038,28.8442,26.3704,28.4666,31.4436,25.3478,
529,529,192,8720,27.7451,24.4583,30.3699,31.4492,30.6972,24.8572,25.3855,30.173,21.6019,29.6718,29.0507,27.1617,30.0626,22.2814,26.937,28.4915,28.6899,30.7221,26.3238,27.0025,28.8562,26.3763,28.4752,31.4278,25.3605,
2322,529,192,8720,27.7451,24.1726,30.3104,31.3034,30.6747,25.1775,25.6104,30.2758,21.2986,29.4128,29.3673,27.1205,29.9786,22.4243,27.1024,28.8707,28.7413,30.754,26.2747,26.4673,28.7255,26.5958,28.398,31.5641,25.2618,
768,529,192,8720,27.7451,24.1558,30.2882,31.21,30.6046,25.0362,25.351,30.0257,21.5925,29.6681,29.453,27.0991,30.0704,22.2661,26.9041,28.6967,28.455,30.6479,26.4621,26.7915,29.3586,26.1825,28.4981,31.6739,25.3902,
2323,529,192,8720,27.7445,24.1481,30.2756,31.2835,30.6849,25.1887,25.585,30.3326,21.3011,29.4272,29.388,27.1063,30.0219,22.4105,27.0854,28.8889,28.6757,30.7627,26.2724,26.448,28.7663,26.5892,28.3838,31.5935,25.2494,
9744,529,192,8720,27.7443,24.4455,30.3823,31.4702,30.7083,24.8569,25.3777,30.1847,21.5955,29.6949,29.0321,27.1466,30.0196,22.2561,26.9558,28.5677,28.7126,30.7294,26.3131,27.005,28.7975,26.3673,28.4648,31.4348,25.3457,
5888,529,192,8720,27.7441,24.1266,30.2753,31.1979,30.6263,25.0671,25.3218,30.1205,21.5807,29.6934,29.4355,27.0782,30.0756,22.2374,26.9207,28.7227,28.4051,30.667,26.4458,26.7684,29.3625,26.1627,28.4881,31.7111,25.3668,
8721,529,192,8720,27.7439,24.4411,30.3579,31.4545,30.7076,24.8571,25.3629,30.2118,21.606,29.6833,29.0566,27.1469,30.0615,22.2618,26.9374,28.5236,28.6679,30.7291,26.3207,26.9933,28.8477,26.366,28.4653,31.4389,25.354,
8473,529,192,8720,27.7432,24.1608,30.303,31.2969,30.6884,25.1792,25.6095,30.3006,21.3121,29.4184,29.3472,27.1055,29.9894,22.4093,27.1034,28.8653,28.7272,30.7555,26.2694,26.4573,28.73,26.6002,28.3935,31.5701,25.2435,
8472,529,192,8720,27.7425,24.1796,30.3375,31.3141,30.6782,25.1693,25.6285,30.242,21.307,29.4028,29.3287,27.1172,29.9427,22.4214,27.1188,28.8498,28.7864,30.7471,26.272,26.4735,28.6914,26.6022,28.4074,31.5453,25.2572,
345,529,192,8720,27.7418,24.1725,30.3006,31.2929,30.6692,25.1608,25.6064,30.2628,21.3212,29.427,29.347,27.1062,30.009,22.4024,27.0885,28.8632,28.7322,30.7416,26.2722,26.4988,28.7619,26.5828,28.3984,31.5476,25.2381,
344,529,192,8720,27.7417,24.1899,30.3361,31.3109,30.6612,25.1521,25.6243,30.2065,21.3153,29.4117,29.3311,27.1182,29.9633,22.414,27.1044,28.8492,28.7906,30.7362,26.2749,26.5136,28.7242,26.5855,28.4114,31.5247,25.2525,
8465,529,192,8720,27.7416,24.181,30.316,31.2933,30.6619,25.1651,25.6076,30.254,21.3367,29.3889,29.3394,27.1219,29.9665,22.4254,27.0975,28.8307,28.7415,30.7529,26.2861,26.4989,28.703,26.6029,28.4153,31.5426,25.2694,
337,529,192,8720,27.7415,24.1937,30.3159,31.2902,30.645,25.148,25.6047,30.2191,21.3459,29.3993,29.3423,27.1239,29.9883,22.4183,27.0825,28.8296,28.7468,30.7413,26.2892,26.541,28.7361,26.5874,28.421,31.5214,25.2648,
1296,529,192,8720,27.7412,24.2138,30.3504,31.2995,30.6436,25.1496,25.6305,30.1706,21.3476,29.3933,29.3074,27.1378,29.9255,22.4309,27.1051,28.8123,28.7977,30.737,26.2955,26.5525,28.6652,26.5983,28.4355,31.5099,25.2785,
1425,529,192,8720,27.7407,24.172,30.2995,31.2891,30.6757,25.1636,25.5791,30.2677,21.319,29.4357,29.357,27.114,29.9742,22.3995,27.0884,28.8662,28.7333,30.7574,26.2878,26.5046,28.6991,26.5836,28.4002,31.5583,25.2522,
1561,529,192,8720,27.7396,24.4494,30.3461,31.4549,30.7225,24.8497,25.3746,30.2099,21.5936,29.727,29.0127,27.1383,30.0802,22.2453,26.9314,28.5033,28.6616,30.7079,26.3073,26.9939,28.8562,26.3549,28.4524,31.4471,25.3313,
6417,529,192,8720,27.739,24.1811,30.305,31.2932,30.6729,25.149,25.5729,30.2772,21.3494,29.4711,29.3655,27.1154,29.972,22.3884,27.079,28.8429,28.6977,30.7309,26.2698,26.5233,28.7128,26.5625,28.3976,31.5624,25.244,
1432,529,192,8720,27.7386,24.1686,30.319,31.31,30.6875,25.1668,25.6024,30.2486,21.2842,29.4402,29.3414,27.1077,29.9472,22.3948,27.1092,28.8825,28.7821,30.7469,26.2711,26.4681,28.6829,26.583,28.3873,31.5601,25.2355,
6424,529,192,8720,27.7381,24.1787,30.3253,31.313,30.6861,25.1535,25.598,30.2633,21.3155,29.4793,29.3517,27.1095,29.9454,22.3845,27.1022,28.8574,28.747,30.723,26.2538,26.4881,28.6987,26.5633,28.386,31.5633,25.2288,
