flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,16380,8720,28.3242,24.5517,30.5759,31.3644,31.212,25.9471,25.8441,31.4721,22.2624,30.4045,30.3576,27.5736,30.4102,22.6203,27.7012,29.2036,28.7976,31.578,26.9658,27.2204,29.6603,27.0446,28.937,32.4583,25.6192,
2340,8721,16104,8720,28.3242,24.5501,30.5795,31.3623,31.2034,25.9267,25.8562,31.4457,22.2688,30.4023,30.3633,27.5822,30.3999,22.6341,27.6986,29.2263,28.8153,31.5829,26.9701,27.2284,29.6364,27.0541,28.9387,32.432,25.6222,
2340,8721,4560,8720,28.324,24.5088,30.5572,31.4078,31.1887,26.0211,25.8182,31.5341,22.2206,30.4538,30.4196,27.5704,30.456,22.5802,27.6796,29.1697,28.7435,31.5778,26.9185,27.2371,29.7704,26.9848,28.8988,32.4881,25.5718,
2340,8721,16376,8720,28.324,24.5495,30.58,31.3723,31.2126,25.9483,25.8416,31.4627,22.2545,30.4009,30.3495,27.5762,30.4037,22.6236,27.7019,29.2154,28.8042,31.5831,26.9663,27.2272,29.6447,27.0453,28.9374,32.4528,25.6226,
2340,8721,2289,8720,28.3239,24.5058,30.5426,31.3822,31.1947,26.0233,25.8212,31.5458,22.2361,30.4668,30.4529,27.5656,30.4899,22.5737,27.6641,29.1378,28.7098,31.5616,26.9182,27.2216,29.8054,26.9887,28.896,32.5109,25.558,
2340,8721,1535,8720,28.3238,24.5655,30.5711,31.3548,31.206,25.9417,25.863,31.4553,22.2639,30.4037,30.3612,27.5788,30.4553,22.6381,27.686,29.1056,28.7841,31.5581,26.9709,27.206,29.7405,27.045,28.9434,32.4458,25.6281,
2340,8721,966,8720,28.3234,24.507,30.5408,31.3846,31.1944,26.0225,25.8183,31.5424,22.2297,30.4644,30.4477,27.5659,30.4883,22.5749,27.6639,29.1381,28.7118,31.5625,26.9182,27.2246,29.8079,26.986,28.8982,32.5076,25.5615,
2340,8721,8420,8720,28.3234,24.5064,30.5534,31.3819,31.1788,26.0099,25.8367,31.5327,22.252,30.4557,30.4586,27.5658,30.4529,22.5765,27.6741,29.1737,28.7383,31.566,26.9176,27.2173,29.7736,26.9938,28.8932,32.4953,25.5561,
2340,8721,2544,8720,28.3233,24.508,30.5624,31.3918,31.1931,26.0194,25.8203,31.5401,22.2353,30.4527,30.4327,27.5616,30.4574,22.564,27.6777,29.1735,28.7359,31.5708,26.9117,27.2336,29.7705,26.9894,28.8989,32.5044,25.5538,
2340,8721,4293,8720,28.3232,24.5016,30.5323,31.3789,31.1825,26.0172,25.8319,31.5393,22.2432,30.467,30.4681,27.5699,30.4838,22.5858,27.6631,29.1407,28.7131,31.5605,26.9231,27.2057,29.8075,26.9869,28.8897,32.5,25.5646,
2340,8721,2290,8720,28.3232,24.5057,30.5418,31.3846,31.1941,26.0227,25.8178,31.5449,22.2288,30.4652,30.4482,27.5643,30.4898,22.5732,27.664,29.1378,28.7117,31.5632,26.9163,27.2262,29.805,26.9866,28.8963,32.5089,25.5593,
2340,8721,6868,8720,28.3232,24.4984,30.5442,31.3912,31.1918,26.0205,25.8078,31.5458,22.2295,30.4635,30.4409,27.566,30.4541,22.5693,27.6778,29.2041,28.7242,31.5751,26.9219,27.2319,29.7479,26.9864,28.8951,32.5047,25.5637,
2340,8721,10964,8720,28.3231,24.4978,30.5445,31.3894,31.1918,26.0223,25.8106,31.5437,22.2357,30.4637,30.4458,27.5642,30.4537,22.5682,27.6767,29.2025,28.723,31.5721,26.9231,27.2267,29.7472,26.9875,28.8946,32.5101,25.5603,
2340,8721,2532,8720,28.3231,24.5056,30.5599,31.3728,31.1886,26.0168,25.8341,31.5386,22.2598,30.4543,30.4618,27.5584,30.4551,22.5612,27.6754,29.1778,28.7303,31.5624,26.912,27.2151,29.7733,26.9934,28.894,32.5128,25.5418,
2340,8721,996,8720,28.3231,24.5089,30.5614,31.3909,31.1914,26.0172,25.8215,31.5384,22.2357,30.4498,30.4352,27.5624,30.4552,22.5639,27.6756,29.1749,28.7371,31.5685,26.9112,27.2339,29.7726,26.9909,28.8985,32.5065,25.5535,
2340,8721,16364,8720,28.3231,24.5481,30.5763,31.357,31.2069,25.9373,25.8502,31.4616,22.2697,30.4027,30.3676,27.5741,30.4027,22.6227,27.6991,29.2187,28.8018,31.5775,26.9661,27.2173,29.6475,27.0489,28.9354,32.4496,25.6157,
2340,8721,965,8720,28.3231,24.506,30.5405,31.3814,31.1939,26.0226,25.8211,31.5429,22.2356,30.4648,30.4512,27.5662,30.4873,22.5745,27.6624,29.1374,28.7096,31.5602,26.9189,27.2192,29.8067,26.9866,28.8969,32.5085,25.5595,
2340,8721,10434,8720,28.3231,24.4905,30.5332,31.38,31.1878,26.0175,25.8224,31.5366,22.2423,30.4711,30.4727,27.5677,30.4666,22.5795,27.6652,29.1981,28.717,31.5718,26.9219,27.2171,29.7557,26.9896,28.8865,32.5049,25.558,
2340,8721,8402,8720,28.3229,24.5035,30.536,31.3974,31.188,26.0232,25.8177,31.5368,22.2203,30.4653,30.4391,27.5697,30.4867,22.5861,27.664,29.1376,28.7185,31.5675,26.9217,27.2228,29.8053,26.9816,28.894,32.4951,25.5717,
2340,8721,8656,8720,28.3228,24.508,30.5568,31.4039,31.1865,26.0202,25.821,31.5293,22.2262,30.4535,30.4232,27.5681,30.4543,22.5787,27.6767,29.1669,28.7418,31.5731,26.9189,27.2314,29.7687,26.985,28.8973,32.4893,25.5684,
2340,8721,4801,8720,28.3227,24.4933,30.5347,31.3956,31.1915,26.0178,25.8103,31.5375,22.221,30.4673,30.4446,27.5726,30.4669,22.5819,27.6651,29.1968,28.7221,31.5781,26.9204,27.2341,29.7551,26.9867,28.8899,32.4947,25.5675,
2340,8721,4306,8720,28.3227,24.5037,30.536,31.4004,31.1883,26.0222,25.8147,31.5364,22.2143,30.4642,30.4342,27.5712,30.487,22.5866,27.6652,29.138,28.7194,31.5695,26.9202,27.2271,29.8057,26.9799,28.8941,32.4911,25.5745,
2340,8721,4324,8720,28.3225,24.5065,30.5522,31.3835,31.1781,26.0086,25.8339,31.5312,22.2456,30.4543,30.4529,27.5672,30.4522,22.5774,27.6742,29.1731,28.7391,31.5662,26.9162,27.2217,29.7731,26.9918,28.8925,32.4903,25.5593,
2340,8721,8389,8720,28.3224,24.5011,30.5323,31.3752,31.1807,26.0145,25.8342,31.5385,22.2492,30.4675,30.4723,27.5677,30.4831,22.5839,27.6607,29.14,28.7119,31.5572,26.9232,27.2008,29.8059,26.9876,28.889,32.501,25.5605,
2340,8721,4802,8720,28.3224,24.4935,30.5354,31.3993,31.1922,26.0185,25.8069,31.5351,22.2144,30.4659,30.4396,27.5718,30.4673,22.5811,27.6657,29.197,28.7232,31.5795,26.9184,27.2386,29.7557,26.9846,28.8904,32.4943,25.5685,
2340,8721,1008,8720,28.3224,24.51,30.564,31.4098,31.197,26.0163,25.8054,31.5418,22.2103,30.4485,30.4028,27.5635,30.4584,22.564,27.6765,29.1728,28.7412,31.5769,26.9088,27.2514,29.7685,26.985,28.9027,32.4997,25.5617,
2340,8721,10433,8720,28.3224,24.4899,30.5323,31.3758,31.1858,26.0133,25.8251,31.5378,22.2487,30.4722,30.4761,27.5675,30.4661,22.5786,27.6634,29.1977,28.7149,31.5688,26.9221,27.2122,29.754,26.991,28.8855,32.5026,25.5555,
2340,8721,725,8720,28.3222,24.5139,30.5396,31.3892,31.1888,26.0186,25.8235,31.5263,22.226,30.457,30.4301,27.5714,30.4972,22.5882,27.6604,29.0999,28.7141,31.5553,26.9257,27.2206,29.8275,26.9864,28.9013,32.4961,25.5753,
2340,8721,16360,8720,28.3222,24.545,30.5788,31.3645,31.2073,25.9387,25.8468,31.4525,22.2607,30.3974,30.3588,27.5762,30.3958,22.6257,27.699,29.2277,28.8075,31.5818,26.9665,27.2223,29.6323,27.0483,28.9353,32.4441,25.6188,
2340,8721,6342,8720,28.3221,24.492,30.5279,31.3705,31.1869,26.0201,25.8208,31.5504,22.2447,30.474,30.4825,27.5636,30.4777,22.5735,27.6638,29.1715,28.7008,31.5619,26.9202,27.2043,29.7847,26.9845,28.8859,32.513,25.5541,
2340,8721,3009,8720,28.322,24.4917,30.5401,31.3816,31.1989,26.0189,25.8094,31.5467,22.2327,30.4689,30.4549,27.565,30.4684,22.5678,27.6646,29.199,28.7115,31.5718,26.9164,27.2273,29.7503,26.9883,28.8915,32.5094,25.5532,
2340,8721,481,8720,28.322,24.504,30.5464,31.384,31.1921,26.0241,25.8238,31.5408,22.2324,30.4579,30.4499,27.5632,30.4799,22.5719,27.6639,29.1397,28.7173,31.5624,26.9127,27.2187,29.802,26.9863,28.8935,32.5074,25.5538,
