flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,8721,11237,4914,0.857623,0.747041,0.86645,0.912271,0.892109,0.860742,0.792896,0.945354,0.774461,0.902912,0.90521,0.82803,0.879127,0.706973,0.841335,0.887588,0.836025,0.919629,0.840765,0.84459,0.898336,0.859134,0.850743,0.94544,0.845781,
2340,8721,11432,4914,0.857622,0.751169,0.867871,0.911307,0.891943,0.856245,0.794922,0.942656,0.776298,0.901469,0.902984,0.829364,0.87977,0.710237,0.840572,0.886595,0.838716,0.91786,0.840627,0.844521,0.897076,0.859473,0.851595,0.943837,0.845822,
2340,8721,3499,4914,0.857622,0.751207,0.867655,0.911382,0.892057,0.857429,0.794425,0.943049,0.775743,0.901339,0.902871,0.829061,0.879547,0.710318,0.840949,0.886362,0.838175,0.917848,0.840916,0.844413,0.897154,0.859326,0.851658,0.943935,0.846105,
2340,8721,7784,4914,0.857621,0.751058,0.86791,0.911569,0.892081,0.85668,0.794323,0.942972,0.775569,0.901452,0.902782,0.829174,0.879871,0.71034,0.840957,0.886537,0.838613,0.917913,0.840737,0.844553,0.896934,0.85924,0.851698,0.943983,0.845974,
2340,8721,10723,4914,0.857621,0.746486,0.866174,0.912462,0.892068,0.860864,0.792846,0.945629,0.774152,0.903237,0.905487,0.827914,0.879091,0.707018,0.841243,0.887609,0.836005,0.919822,0.840782,0.844523,0.898564,0.859179,0.850536,0.94558,0.84564,
2340,8721,10092,4914,0.857621,0.751232,0.867857,0.911425,0.892103,0.85721,0.794233,0.943033,0.775633,0.901275,0.90271,0.829053,0.879708,0.710524,0.841035,0.886359,0.838376,0.917898,0.840918,0.844309,0.896922,0.859202,0.85175,0.943894,0.846241,
2340,8721,11207,4914,0.857619,0.746545,0.866106,0.912415,0.892072,0.860978,0.79272,0.945553,0.774154,0.903025,0.905415,0.827924,0.879069,0.707251,0.841362,0.887585,0.835831,0.919698,0.840914,0.844543,0.898554,0.859126,0.850699,0.945539,0.84579,
2340,8721,16027,4914,0.857619,0.751177,0.867327,0.911775,0.892102,0.85779,0.793939,0.943607,0.775253,0.901403,0.902756,0.828877,0.879429,0.710183,0.841188,0.88639,0.837928,0.917868,0.840972,0.844699,0.897036,0.859183,0.851753,0.944027,0.846187,
2340,8721,3976,4914,0.857619,0.751274,0.868081,0.911537,0.892021,0.856416,0.794773,0.942557,0.775849,0.901399,0.902723,0.829396,0.879838,0.710192,0.8407,0.88647,0.838863,0.917856,0.840538,0.844651,0.897074,0.859345,0.851629,0.943947,0.84572,
2340,8721,5561,4914,0.857619,0.751331,0.867773,0.911758,0.892071,0.857567,0.794264,0.943113,0.775115,0.901403,0.902643,0.829046,0.87953,0.710278,0.841049,0.886238,0.838318,0.917855,0.840845,0.844529,0.89716,0.859226,0.851681,0.943955,0.846099,
2340,8721,1464,4914,0.857618,0.751396,0.868203,0.911727,0.892058,0.856779,0.794663,0.942582,0.775318,0.901393,0.902558,0.829299,0.879746,0.710257,0.840818,0.886225,0.838839,0.917812,0.840643,0.844583,0.89723,0.859272,0.851654,0.943946,0.845842,
2340,8721,7593,4914,0.857618,0.751185,0.867592,0.911349,0.892034,0.857375,0.794459,0.943072,0.775841,0.901318,0.902877,0.829053,0.879537,0.71029,0.840919,0.886511,0.838202,0.91792,0.840866,0.844409,0.897008,0.859347,0.851641,0.943883,0.846132,
2340,8721,3183,4914,0.857617,0.75095,0.867497,0.911007,0.89194,0.856744,0.794485,0.943213,0.776372,0.901498,0.903256,0.82903,0.879722,0.710622,0.840788,0.886433,0.838098,0.917829,0.840953,0.844149,0.897108,0.859368,0.851637,0.94383,0.846285,
2340,8721,3695,4914,0.857617,0.751114,0.867515,0.911157,0.892004,0.857076,0.794234,0.943335,0.776024,0.901365,0.90302,0.828992,0.879653,0.710592,0.840975,0.886362,0.838071,0.917835,0.841014,0.844278,0.896984,0.859262,0.851722,0.943852,0.846368,
2340,8721,11691,4914,0.857616,0.751138,0.867424,0.911334,0.892082,0.857738,0.794212,0.943351,0.775778,0.901289,0.902919,0.828909,0.879429,0.710243,0.841027,0.886437,0.837892,0.917923,0.841049,0.844352,0.89706,0.859295,0.851703,0.943964,0.846246,
2340,8721,8089,4914,0.857616,0.75138,0.867673,0.911699,0.8921,0.857549,0.794178,0.943186,0.77528,0.901306,0.902571,0.829049,0.879544,0.710248,0.841109,0.886328,0.838263,0.917866,0.84082,0.844661,0.896984,0.859181,0.851729,0.943986,0.846102,
2340,8721,14159,4914,0.857616,0.751024,0.867274,0.91149,0.892075,0.857775,0.793747,0.943775,0.775401,0.901431,0.902986,0.828745,0.879492,0.710574,0.841232,0.886387,0.837692,0.917887,0.841152,0.844325,0.896941,0.859156,0.851794,0.943924,0.8465,
2340,8721,1389,4914,0.857616,0.751077,0.867817,0.911163,0.891993,0.856684,0.794527,0.942921,0.776088,0.901435,0.903017,0.829112,0.879786,0.710646,0.840794,0.88633,0.838363,0.917835,0.840905,0.844165,0.89712,0.859306,0.851673,0.943827,0.84619,
2340,8721,11677,4914,0.857615,0.751226,0.867495,0.911233,0.892029,0.857307,0.794495,0.94319,0.776096,0.901238,0.902908,0.829024,0.879493,0.710396,0.840941,0.886329,0.838136,0.917829,0.840923,0.844287,0.897067,0.859288,0.851722,0.94389,0.846229,
2340,8721,7141,4914,0.857615,0.747095,0.866428,0.912292,0.892101,0.860633,0.792871,0.945394,0.774256,0.90293,0.905182,0.828041,0.879127,0.707004,0.841365,0.887602,0.836067,0.919617,0.840736,0.844674,0.898304,0.85912,0.850746,0.945372,0.845811,
2340,8721,1901,4914,0.857615,0.751267,0.867837,0.91131,0.892072,0.857021,0.794286,0.943022,0.775714,0.901299,0.902786,0.829067,0.879723,0.710621,0.840957,0.886275,0.83831,0.917835,0.840954,0.844292,0.897008,0.859216,0.851753,0.943842,0.846289,
2340,8721,6043,4914,0.857615,0.751346,0.867652,0.912036,0.892123,0.857777,0.793948,0.943398,0.774708,0.901493,0.902586,0.828972,0.879497,0.710137,0.841186,0.886166,0.838171,0.917836,0.840832,0.844735,0.89718,0.859107,0.851725,0.944093,0.846051,
2340,8721,14233,4914,0.857614,0.751283,0.867599,0.91191,0.892112,0.85771,0.79402,0.943379,0.774971,0.901413,0.902586,0.828955,0.879496,0.710133,0.841145,0.886321,0.838191,0.917908,0.84084,0.844704,0.897035,0.859146,0.851739,0.944041,0.8461,
2340,8721,8090,4914,0.857613,0.751452,0.86772,0.911765,0.892125,0.857482,0.79411,0.943192,0.775132,0.901312,0.902532,0.829052,0.87957,0.710186,0.841148,0.886297,0.838296,0.917856,0.840795,0.844727,0.896992,0.859134,0.851777,0.944004,0.846048,
2340,8721,10094,4914,0.857613,0.751215,0.867621,0.91143,0.892084,0.857559,0.794012,0.943349,0.775461,0.901304,0.902779,0.828925,0.879595,0.710533,0.841132,0.886309,0.838063,0.917888,0.841006,0.844281,0.896921,0.859179,0.851753,0.94391,0.846395,
2340,8721,3484,4914,0.857613,0.751362,0.867952,0.911283,0.891995,0.856557,0.794857,0.942641,0.776116,0.901232,0.90277,0.829288,0.879713,0.710455,0.840752,0.886285,0.838715,0.917785,0.840673,0.844366,0.897129,0.859326,0.851662,0.943847,0.845941,
2340,8721,9551,4914,0.857613,0.750964,0.867448,0.911205,0.891897,0.856887,0.794327,0.943325,0.776048,0.901648,0.903269,0.828973,0.879685,0.710699,0.84079,0.88637,0.838028,0.917784,0.84098,0.844178,0.897148,0.859323,0.851636,0.94379,0.846298,
2340,8721,14234,4914,0.857612,0.751359,0.867637,0.911975,0.892139,0.857629,0.793947,0.943383,0.774818,0.901429,0.902559,0.828962,0.879513,0.710072,0.841193,0.886297,0.838225,0.917903,0.840812,0.844767,0.897042,0.859118,0.851779,0.944084,0.846037,
